,Unnamed: 0.1,Unnamed: 0,nommun,estado,region,id_poligon,codigo_uni,eventos,inm_30km,inm_in_gri,inm_in_est,eventos_ed,eventos_gr,sc_30km,promedio_s,sc_estado,geometry,distancia_metros,distancia_km,max_vul2r1_normalized,max_vul2r2_normalized,max_vul2r3_normalized,max_vul2r4_normalized,inm_30km_adjusted,log_eventos_per_inm_30km,norm_log_eventos_per_inm_30km,latitud
78,78,78,"Toluca, Estado de Mexico",Estado de Mexico,Centro,PG1146,C-PG1146-1,754.0,0,1,1,9586,14894,5,91.23076923,,POINT (-99.6569007 19.292545),1040676.0,1040.676,,,,,1,6.626717749249025,0.5719936071015098,19.292545
79,79,79,"San Cristobal de las Casas, Chiapas",Chiapas,Sur,PG1532,S-PG1532-1,700.0,1,1,13,223058,771,3,2.25,117.0,POINT (-92.6155184199116 16.6835469),153172.0,153.172,0.269014364266701,0.6177836654381527,0.10050148595762742,0.4054688525334592,2,5.860786223465865,0.5028808968151365,16.6835469
80,80,80,"Santa Cruz Xoxocotlan, Oaxaca",Oaxaca,Sur,PG1299,S-PG1299-8,750.0,1,1,4,8835,2797,8,7.785714286,16.0,POINT (-96.733333 17.026389),708226.0,708.226,,,,,2,5.929589143389895,0.5090892276012389,17.026389
81,81,81,"San Pablo Huitzo, Oaxaca",Oaxaca,Sur,PG1299,S-PG1299-1,728.0,0,1,4,8835,2797,6,7.785714286,16.0,POINT (-96.8866692 17.2777969),742189.0,742.189,,,,,1,6.591673732008658,0.5688314614928307,17.2777969
82,82,82,"Jiquipilas, Chiapas",Chiapas,Sur,PG1454,S-PG1454-2,743.0,0,0,13,223058,2490,1,0.666666667,117.0,POINT (-93.6056542788837 16.57497565),307476.0,307.476,,,,,1,6.612041034833092,0.5706692752555957,16.57497565
83,83,83,"San Fernando, Tamaulipas",Tamaulipas,Golfo,PG1232,G-PG1232-1,703.0,0,0,3,10385,703,0,0.0,46.0,POINT (-98.1473493 24.8466769),1492162.0,1492.162,0.27863831000841777,0.28365375527571257,0.31383263995236704,0.19145334967165142,1,6.556778356158042,0.5656827283224186,24.8466769
84,84,84,"Cordoba, Veracruz",Veracruz,Golfo,PG1262,G-PG1262-7,609.0,0,0,3,66430,1947,2,2.0,54.0,POINT (-96.9352891 18.8944704),687119.0,687.119,,,,,1,6.413458957167357,0.5527505121027868,18.8944704
85,85,85,"Tuxtla Chico, Chiapas",Chiapas,Sur,PG1529,S-PG1529-3,19703.0,2,0,13,223058,49262,67,54.66666667,117.0,POINT (-92.1967524545976 14.8768619),1835.0,1.835,,,,,3,8.79006614821431,0.7672001838164445,14.8768619
86,86,86,"Tecate, Baja California",Baja California,Pacifico,PG190,P-PG190-3,738.0,0,1,2,33879,28143,5,26.0,66.0,POINT (-116.6298787 32.5653831),4015439.0,4015.439,,,,,1,6.6052979209482015,0.5700608202427564,32.5653831
87,87,87,"Tampico, Tamaulipas",Tamaulipas,Golfo,PG1228,G-PG1228-4,47.0,1,1,3,10385,1412,5,4.0,46.0,POINT (-97.8577713 22.2157619),1120911.0,1120.911,,,,,2,3.1986731175506815,0.2626690167119518,22.2157619
88,88,88,"Jaumave, Tamaulipas",Tamaulipas,Golfo,PG1152,G-PG1152-1,538.0,0,0,3,10385,571,0,5.0,46.0,POINT (-99.3806698 23.40496),1421561.0,1421.561,0.36631767525316017,0.3494830471479517,0.40894740902228066,0.258974538109427,1,6.289715570908998,0.5415847087425135,23.40496
89,89,89,"Monterrey, Nuevo Leon",Nuevo Leon,Golfo,PG1116,G-PG1116-3,446.0,1,1,0,16985,6668,99,66.5,104.0,POINT (-100.315258 25.6802019),1660167.0,1660.167,,,,,2,5.4116460518550396,0.4623533907475784,25.6802019
