,nommun,estado,eventos,inm_30km,distancia_metros,latitud,facility_count_57,facility_count_67,facility_count_77,facility_count_87,facility_count_97
132,"China, Nuevo Leon",Nuevo Leon,146,0,1634099,25.4915799,0,0,0,0,0
133,"Nuevo Laredo, Tamaulipas",Tamaulipas,143,1,1874895,27.4930466,0,0,0,0,0
134,"Morelia, Michoacan",Michoacan,136,0,1481231,19.7027116,0,0,0,0,0
135,"Apizaco, Tlaxcala",Tlaxcala,133,1,879904,19.415556,3,3,3,3,3
136,"Poza Rica de Hidalgo, Veracruz",Veracruz,129,0,926465,20.53765745,0,0,0,0,0
137,"Janos, Chihuahua",Chihuahua,116,1,2777768,30.8893267,0,0,0,0,0
138,"Camerino Z. Mendoza, Veracruz",Veracruz,126,0,725465,18.7896308,0,1,1,1,2
139,"Chiapa de Corzo, Chiapas",Chiapas,3578,1,200289,16.7075202,2,2,2,2,2
140,"Texcoco, Estado de Mexico",Estado de Mexico,153,0,974203,19.5144327,2,2,3,3,3
141,"Antiguo Morelos, Tamaulipas",Tamaulipas,122,0,1316568,22.56570125,0,0,0,0,0
142,"Salina Cruz, Oaxaca",Oaxaca,155,0,494431,16.1825,0,0,0,0,0
143,"Xalapa, Veracruz",Veracruz,103,0,795909,19.5408338,0,0,0,0,0
144,"San Miguel Tequixtepec, Oaxaca",Oaxaca,,0,826486,17.801944,0,0,0,0,0
145,"San Juan Bautista Tuxtepec, Oaxaca",Oaxaca,108,0,605361,18.0874632,1,1,1,1,1
146,"Tlajomulco de Zuniga, Jalisco",Jalisco,113,1,1734853,20.48187375,0,1,1,1,1
147,"San Andres Tuxtla, Veracruz",Veracruz,102,0,544504,18.4633672,0,0,0,0,0
148,"Yauhquemehcan, Tlaxcala",Tlaxcala,98,1,904133,19.4057444,2,2,2,2,2
149,"Cosio, Aguascalientes",Aguascalientes,98,0,1530445,22.3705155,0,0,0,0,0
150,"Trancoso, Zacatecas",Zacatecas,99,1,1549770,22.7353025,0,0,0,0,0
151,"Ojinaga, Chihuahua",Chihuahua,101,0,2531470,29.5654282,0,0,0,0,0
152,"Pesqueria, Nuevo Leon",Nuevo Leon,93,0,1671057,25.7851361,1,1,1,1,1
153,"Anahuac, Nuevo Leon",Nuevo Leon,86,0,1889336,27.0285283,0,0,0,0,0
154,"Atlangatepec, Tlaxcala",Tlaxcala,85,1,895388,19.530833,2,2,2,2,2
155,"Cadereyta Jimenez, Nuevo Leon",Nuevo Leon,83,0,1631859,25.517337,0,0,0,0,0
156,"Moloacan, Veracruz",Veracruz,4202,0,386529,17.9926405,1,1,1,1,1
157,"Angostura, Sinaloa",Sinaloa,79,0,2291946,25.3657471,0,0,0,0,0
158,"Tula de Allende, Hidalgo",Hidalgo,76,0,1044904,20.0489487,1,1,1,2,2
159,"Villa de Zaachila, Oaxaca",Oaxaca,78,1,708564,16.950833,0,1,1,2,2
160,"Tlalnepantla de Baz, Estado de Mexico",Estado de Mexico,75,1,994753,19.54649025,3,3,4,4,4
161,"Ozuluama de Mascarenas, Veracruz",Veracruz,74,0,1064733,21.661111,0,0,0,0,0
162,"Rio Blanco, Veracruz",Veracruz,50,0,714413,18.84522475,0,1,1,1,2
163,"Huamantla, Tlaxcala",Tlaxcala,1687,1,878276,19.313427,2,2,2,2,2
164,"San Luis Rio Colorado, Sonora",Sonora,67,0,3495743,32.4517957,0,0,0,0,0
165,"Yanga, Veracruz",Veracruz,62,0,672938,18.8313634,1,1,1,1,2
166,"Los Cabos, Baja California Sur",Baja California Sur,58,0,2817517,23.27184805,0,0,0,0,0
167,"San Luis de la Paz, Guanajuato",Guanajuato,65,0,1265816,21.2970466,0,0,0,0,0
168,"Alvarado, Veracruz",Veracruz,59,0,663954,18.82874235,0,0,0,0,0
169,"Rio Bravo, Tamaulipas",Tamaulipas,50,0,1650464,25.988981,1,1,1,1,1
170,"Carrillo Puerto, Veracruz",Veracruz,55,0,650751,18.8215893,1,1,1,1,1
171,"Fortin, Veracruz",Veracruz,54,0,692623,18.8993309,0,1,1,1,2
172,"Chahuites, Oaxaca",Oaxaca,54,1,311322,16.2885299,0,0,0,0,0
173,"Sayula de Aleman, Veracruz",Veracruz,9311,0,467723,17.74768255,2,2,2,2,2
174,"Soto la Marina, Tamaulipas",Tamaulipas,54,0,1386501,23.87599915,0,0,0,0,0
175,"San Nicolas de los Garza, Nuevo Leon",Nuevo Leon,50,1,1681722,25.7558021,1,2,2,2,3
176,"San Francisco Telixtlahuaca, Oaxaca",Oaxaca,49,0,741160,17.296628,0,0,0,0,1
177,"Tlaxco, Tlaxcala",Tlaxcala,48,0,900687,19.62058645,1,1,1,1,1
178,"Papantla, Veracruz",Veracruz,48,0,906809,20.4458721,0,0,0,0,0
179,"Cuapiaxtla, Tlaxcala",Tlaxcala,46,0,840785,19.2961777,1,1,1,1,1
180,"Heroica Ciudad de Huajuapan de Leon, Oaxaca",Oaxaca,46,0,873391,17.808846,0,0,0,0,0
181,"Centla, Tabasco",Tabasco,45,0,269539,18.3536762,0,0,0,0,0
182,"Hidalgo, Tamaulipas",Tamaulipas,47,0,1454986,24.2480354,0,0,0,0,0
183,"San Jacinto Amilpas, Oaxaca",Oaxaca,45,1,710092,17.1011376,0,1,1,2,3
