,ciudad,latitude,longitude,etiqueta,entidad federativa / municipio,presentados 1,canalizados 1,subtotal 1,presentados 2,canalizados 2,subtotal 2,presentados 3,canalizados 3,subtotal 3,presentados 4,canalizados 4,subtotal 4,presentados 5,canalizados 5,subtotal 5,presentados 6,canalizados 6,subtotal 6,presentados 7,canalizados 7,subtotal 7,presentados 8,canalizados 8,subtotal 8,presentados 9,canalizados 9,subtotal 9,presentados 10,canalizados 10,subtotal 10,presentados 11,canalizados 11,subtotal 11,presentados 12,canalizados 12,subtotal 12,presentados total,canalizados total,total
248,"Cedral, San Luis Potosí",23.8205361,-100.7242892,municipio,"Mazatlán, Sin.",54,19,73,92,125,217,102,115,217,21,39,60,0,0,0,0,0,0,0,88,88,0,109,109,0,105,105,3,71,74,7,21,28,0,5,5,279,697,976
109,"Ocampo, Guanajuato",21.6042823,-101.4762393,municipio,"San Marcos, Gro.",94,19,113,169,30,199,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,8,29,37,0,7,7,0,0,0,0,14,14,0,0,0,276,103,379
29,"Comitán de Domínguez, Chiapas",16.2911698,-92.17532124,municipio,"Cintalapa de Figueroa, Chis.",55,52,107,13,7,20,24,17,41,8,1,9,1,0,1,3,0,3,2,26,28,0,10,10,1,3,4,50,52,102,42,48,90,57,48,105,256,264,520
40,"Motozintla, Chiapas",15.3050827,-92.34880362,municipio,"Mezcalapa, Chis.",0,0,0,55,5,60,29,23,52,12,3,15,8,5,13,12,3,15,10,12,22,0,38,38,13,0,13,46,30,76,39,27,66,32,37,69,256,183,439
15,"Carmen, Campeche",18.651739,-91.81492,municipio,"Campeche, Camp.",2,0,2,1,0,1,1,0,1,0,0,0,78,23,101,20,26,46,18,43,61,25,36,61,59,40,99,15,15,30,17,4,21,7,0,7,243,187,430
306,"Chiautempan, Tlaxcala",19.313889,-98.1925,municipio,"Ixtenco, Tlax.",200,50,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,0,0,0,207,54,261
337,"Carrillo Puerto, Veracruz",18.8215893,-96.5842839,municipio,"Coatzacoalcos, Ver.",0,6,6,32,21,53,108,0,108,26,50,76,19,24,43,0,11,11,0,1,1,0,0,0,13,0,13,0,0,0,0,5,5,0,0,0,198,118,316
16,"Champotón, Campeche",19.3439655,-90.7242742,municipio,"Carmen, Camp.",21,4,25,0,7,7,14,0,14,29,0,29,48,10,58,3,0,3,31,3,34,30,14,44,9,23,32,4,9,13,1,0,1,0,0,0,190,70,260
338,"Coatepec, Veracruz",19.4543134,-96.9596375,municipio,"Córdoba, Ver.",114,6,120,21,22,43,0,0,0,39,0,39,0,7,7,0,64,64,3,247,250,0,22,22,0,21,21,0,19,19,0,24,24,0,0,0,177,432,609
84,"Amecameca, México",19.1200254,-98.70653181,municipio,"Huehuetoca, Méx.",0,0,0,0,15,15,40,4,44,15,2,17,0,0,0,5,0,5,10,18,28,20,11,31,2,0,2,0,0,0,72,135,207,0,0,0,164,185,349
150,"Puente de Ixtla, Morelos",18.6171111,-99.3192092,municipio,"Tepic, Nay.",26,0,26,12,2,14,42,7,49,1,0,1,9,3,12,9,0,9,29,4,33,0,0,0,9,31,40,1,0,1,25,9,34,0,0,0,163,56,219
164,"Galeana, Nuevo León",24.758306,-100.3813513,municipio,"Guadalupe, NL",16,14,30,8,4,12,14,4,18,20,5,25,21,0,21,10,7,17,7,3,10,33,3,36,25,11,36,3,0,3,1,9,10,2,3,5,160,63,223
