ID_Poligono,geometry
PG242,"POLYGON ((-112 35, -111 35, -111 34, -112 34, -112 35))"
PG243,"POLYGON ((-112 36, -111 36, -111 35, -112 35, -112 36))"
PG244,"POLYGON ((-111 10, -110 10, -110 9, -111 9, -111 10))"
PG245,"POLYGON ((-111 11, -110 11, -110 10, -111 10, -111 11))"
PG246,"POLYGON ((-111 12, -110 12, -110 11, -111 11, -111 12))"
PG247,"POLYGON ((-111 13, -110 13, -110 12, -111 12, -111 13))"
PG248,"POLYGON ((-111 14, -110 14, -110 13, -111 13, -111 14))"
PG249,"POLYGON ((-111 15, -110 15, -110 14, -111 14, -111 15))"
PG250,"POLYGON ((-111 16, -110 16, -110 15, -111 15, -111 16))"
PG251,"POLYGON ((-111 17, -110 17, -110 16, -111 16, -111 17))"
PG252,"POLYGON ((-111 18, -110 18, -110 17, -111 17, -111 18))"
PG253,"POLYGON ((-111 19, -110 19, -110 18, -111 18, -111 19))"
PG254,"POLYGON ((-111 20, -110 20, -110 19, -111 19, -111 20))"
PG255,"POLYGON ((-111 21, -110 21, -110 20, -111 20, -111 21))"
PG256,"POLYGON ((-111 22, -110 22, -110 21, -111 21, -111 22))"
PG257,"POLYGON ((-111 23, -110 23, -110 22, -111 22, -111 23))"
PG258,"POLYGON ((-111 24, -110 24, -110 23, -111 23, -111 24))"
PG259,"POLYGON ((-111 25, -110 25, -110 24, -111 24, -111 25))"
PG260,"POLYGON ((-111 26, -110 26, -110 25, -111 25, -111 26))"
PG261,"POLYGON ((-111 27, -110 27, -110 26, -111 26, -111 27))"
PG262,"POLYGON ((-111 28, -110 28, -110 27, -111 27, -111 28))"
PG263,"POLYGON ((-111 29, -110 29, -110 28, -111 28, -111 29))"
PG264,"POLYGON ((-111 30, -110 30, -110 29, -111 29, -111 30))"
PG265,"POLYGON ((-111 31, -110 31, -110 30, -111 30, -111 31))"
PG266,"POLYGON ((-111 32, -110 32, -110 31, -111 31, -111 32))"
PG267,"POLYGON ((-111 33, -110 33, -110 32, -111 32, -111 33))"
PG268,"POLYGON ((-111 34, -110 34, -110 33, -111 33, -111 34))"
PG269,"POLYGON ((-111 35, -110 35, -110 34, -111 34, -111 35))"
PG270,"POLYGON ((-111 36, -110 36, -110 35, -111 35, -111 36))"
PG271,"POLYGON ((-110 10, -109 10, -109 9, -110 9, -110 10))"
PG272,"POLYGON ((-110 11, -109 11, -109 10, -110 10, -110 11))"
