"Cosamaloapan de Carpio, Ver.",3 096
"Cosoleacaque, Ver.", 17
"Cotaxtla, Ver.", 250
"Cuitláhuac, Ver.",1 345
"Fortín, Ver.", 54
"Gutiérrez Zamora, Ver.", 9
"Isla, Ver.", 15
"Ixtaczoquitlán, Ver.", 2
"Jesús Carranza, Ver.",5 396
"Juan Rodríguez Clara, Ver.", 8
"La Antigua, Ver.", 160
"Las Choapas, Ver.", 303
"Martínez de la Torre, Ver.", 15
"Medellín de Bravo, Ver.", 27
"Minatitlán, Ver.", 10
"Moloacán, Ver.", 81
"Naranjos Amatlán, Ver.", 21
"Nogales, Ver.", 6
"Orizaba, Ver.",1 100
"Ozuluama de Mascareñas, Ver.", 74
"Pánuco, Ver.", 8
"Papantla, Ver.", 48
"Perote, Ver.", 2
"Poza Rica de Hidalgo, Ver.", 129
"Pueblo Viejo, Ver.", 3
"Río Blanco, Ver.", 73
"San Andrés Tuxtla, Ver.", 102
"San Juan Evangelista, Ver.", 1
"Sayula de Alemán, Ver.", 53
"Soledad de Doblado, Ver.", 3
"Tecolutla, Ver.", 2
"Texistepec, Ver.", 7
"Tezonapa, Ver.", 6
"Tierra Blanca, Ver.", 13
"Tihuatlán, Ver.", 8
"Tres Valles, Ver.", 2
"Tuxpan, Ver.", 231
"Veracruz, Ver.",2 478
"Villa Aldama, Ver.", 3
"Xalapa, Ver.", 109
"Yanga, Ver.", 62
,
Yucatán, 939
"Mérida, Yuc.", 931
"Progreso, Yuc.", 3
"Valladolid, Yuc.", 5
,
Zacatecas,1 125
"Calera, Zac.", 42
"Jerez, Zac.", 1
"Trancoso, Zac.", 96
"Zacatecas, Zac.", 986
,
