name,ciudad,estado,tipo,subtipo,latitud,longitud,ID_Poligono,direccion
Comision Nacional de los Derechos Humanos ,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3250371,-99.2284244,PG551,"Periferico Sur 3469, Col. San Jeronimo Lidice,Ciudad de Mexico, Ciudad de Mexico"
"Centro de los Derechos del Migrante, Inc ","Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.32160295,-99.18493018,PG551,"Calle Zamora #169-4 C.P. 06140,Ciudad de Mexico, Ciudad de Mexico"
"Fundar, Centro de Analisis e Investigacion, AC ","Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3178414,-99.1419825,PG551,"Cerrada de Alberto Zamora 21, Col. Villa Coyoacan.,Delegacion Coyoacan, Ciudad de Mexico"
Centro Fray Julian Garces A. C. ,"Texcoco, Estado de Mexico",Estado de Mexico,OSC / ONG,Centros de Asistencia Social,19.3116764,-98.2442069,PG578,"Calle 11 No. 214,Loma Xicohtencatl, Tlaxcala"
Instituto Nacional de Salud Publica (INSP) ,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.30766112,-99.15713104,PG551,"Universidad No. 655 Colonia Santa Maria Ahuacatitlan, Cerrada Los Pinos y Caminera C.P. 62100, Cuernavaca, Morelos. Mexico,Cuernavaca, Morelos"
"Centro Nacional Modelo de Atencion, Investigacion y Capacitacion Casa Hogar para Ninas","Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3058538,-99.1900616,PG551,"Av. Insurgentes Sur 3700-A, Col. Insurgentes Cuicuilco Coyoacan, Ciudad de Mexico. C.P. 04530"
Fundacion Fraternidad Sin Frontera IAP ,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.30102127,-99.10092886,PG551,"Canal Nacional 1057, Coapa, Villa Quietud,Delegacion Coyoacan, Ciudad de Mexico"
Centro Casa Origen ,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3008141,-99.7743733,PG551,"Calle sin nombre CP 50960,Villa Victoria, Estado de Mexico"
Albergue Temporal Infantil,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.2791783,-99.658784,PG551,"Paseo Colon 600, Col. Villa Hogar Toluca, Estado de Mexico."
Instituto del Rincon A.C. ,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.26749032,-99.60971699,PG551,"Avenida Morelos No. 124 CP 52440,Malinalco, Estado de Mexico"
COMI,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.1996151,-99.5003113,PG551,"Callejon de Guadalupe Victoria s/n, Col. Centro C.P. 68000"
Aldea Emelia Exsome Ninas,"Xalapa, Veracruz",Veracruz,OSC / ONG,Centros de Asistencia Social,19.18236338,-96.14691843,PG632,"Calle 16 s/n, entre Echeven y Cortes, Col. Pocitos y Rivera, Veracruz, Veracruz. C.P. 91729"
San Felipe Hueyotlipan,"Texcoco, Estado de Mexico",Estado de Mexico,OSC / ONG,Centros de Asistencia Social,19.0859633,-98.2109754,PG578,"Calle 5 de Febrero 1, Col. San Felipe Hueyotlipan C.P. 72030"
Nuestra Senora de los Desamparados,"Texcoco, Estado de Mexico",Estado de Mexico,OSC / ONG,Centros de Asistencia Social,19.07006069,-98.20776444,PG578,"Av. 36 Poniente 3308, Col. Nueva Aurora (atras de la Central de Autobuses de Puebla) C.P. 42070"
Iniciativa Ciudadana para la promocion de la cultura y el dialogo A.C. ,"Texcoco, Estado de Mexico",Estado de Mexico,OSC / ONG,Centros de Asistencia Social,19.0656727,-98.2347693,PG578,"Calle 7 Poniente # 509 Interior 10,Puebla, Puebla"
Casa del Migrante de la Parroquia de Nuestra Senora de los Desamparados ,"Texcoco, Estado de Mexico",Estado de Mexico,OSC / ONG,Centros de Asistencia Social,19.05750662,-98.20295176,PG578,"Av. 36 Poniente 3308, Col. Nueva Aurora, atras de la Central de Autobuses, C.P. 42070,Puebla, Puebla"
Casa de la Ninez Poblana,"Texcoco, Estado de Mexico",Estado de Mexico,OSC / ONG,Centros de Asistencia Social,19.03491584,-98.25812983,PG578,"Km. 4.5 Carr. Federal Puebla-Atlixco Col. Emiliano Zapata, San Andres Cholula, Puebla."
Parroquia de la Asuncion Ayuda Humanitaria a Migrantes en Transito ,"Jantetelco, Morelos",Morelos,OSC / ONG,Centros de Asistencia Social,18.9570892,-98.270555,PG577,"Calle 45 Norte 206, Col. Aquiles Serdan C.P. 72140,Puebla, Puebla"
Centro de Asistencia Social para Adolescentes,"Xochitepec, Morelos",Morelos,OSC / ONG,Centros de Asistencia Social,18.8397425,-99.2155391,PG550,"Av. Miguel Hidalgo s/n, Col. Miguel Hidalgo Temixco, Morelos."
"Pro Chavos, A.C. Centro de Rehabilitacion de Jovenes Prob. Drogas y Alcohol","Xochitepec, Morelos",Morelos,OSC / ONG,Centros de Asistencia Social,18.8343175,-99.2416735,PG550,"20 de Nov. 10, Col. Ruben Jaramillo, Temixco, Morelos."
Comedor para migrantes Las Patronas ,"San Jose Tenango, Oaxaca",Oaxaca,OSC / ONG,Centros de Asistencia Social,18.8131068,-96.9262761,PG631,"Calle 14 s/n Col. Guadalupe Amatlan de los Reyes,Amatlan de los Reyes, Veracruz"
"Albergue Infantil ""Maria Palmira Lavalle"" del DIF Estatal Campeche","Carmen, Campeche",Campeche,OSC / ONG,Centros de Asistencia Social,18.6533451,-91.7920685,PG766,"Av. Juan Escutia s/n, Col.Buenavista, San Francisco de Campeche, Campeche. C.P.24040"
Meced Arrecife,"Carmen, Campeche",Campeche,OSC / ONG,Centros de Asistencia Social,18.644268,-91.7825531,PG766,"Av. Puerto de Campeche s/, Col. Santa Isabel, Carmen, Campeche, C.P. 24157"
Decanal Guadalupano,"San Jose Tenango, Oaxaca",Oaxaca,OSC / ONG,Centros de Asistencia Social,18.4374727344587,-96.3491365589986,PG631,"Hermanos Aldama 50, Tierra Blanca el Viejo, 95180 Tierra Blanca, Ver."
Casa de Atencion al Migrante El Santuario ,"Palizada, Campeche",Campeche,OSC / ONG,Centros de Asistencia Social,18.40556287,-92.48796682,PG739,"Capilla de Macuspana (Estacion de tren),Macuspana, Tabasco"
Casa del Migrante Santa Faustina Kowalska ,"Coatzacoalcos, Veracruz",Veracruz,OSC / ONG,Centros de Asistencia Social,18.1626665,-94.5529821,PG685,"Calle La Venta 434 Col. Dunas,Coatzacoalcos, Veracruz"
"Diocesis de Coatzacoalcos, A.R.","Coatzacoalcos, Veracruz",Veracruz,OSC / ONG,Centros de Asistencia Social,18.14096495,-94.48905996,PG685,"Rio Panuco s/n, entre Rio Tuxpan y Rio Calzadas, Col. Coatzacoalcos, C.P. 96499"
Casa del Migrante Diocesis de Coatzacoalcos A.C. ,"Coatzacoalcos, Veracruz",Veracruz,OSC / ONG,Centros de Asistencia Social,18.12686362,-94.45159628,PG685,"Albergue para mujeres: Calle Soledad del Doblado, esquina Pascual Orozco, cerca del puente de Av.1 Coatzacoalcos,Coatzacoalcos, Veracruz"
Mons. Guillermo Ranzahuer,"Jesus Carranza, Veracruz",Veracruz,OSC / ONG,Centros de Asistencia Social,17.9327562,-94.9017008,PG684,Calle Ignacio Allende 926 Barrio Cuarto C.P.96160
Casa de Migrantes Mons. Guillermo Ranzahuer ,"Jesus Carranza, Veracruz",Veracruz,OSC / ONG,Centros de Asistencia Social,17.9272722,-94.893736,PG684,"Calle Miguel Hidalgo 604, Barrio Primero, 96160 Oluta, Veracruz, Mexico,Acayucan, Veracruz"
Albergue casa El Caminante J'tatic,"Palenque, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,17.5425238,-91.989465,PG765,"Col. Pakal Na, Barrio San Francisco s/n, cercana a La estacion del Ferrocarril y al parque de Pakalna. Palenque, Chiapas"
"Centro de Derechos Humanos de la Montana Tlachinollan, AC ","Santiago Juxtlahuaca, Oaxaca",Oaxaca,OSC / ONG,Centros de Asistencia Social,17.5408669,-98.5947901,PG576,"Mina #77 Col. Centro C.P 41300,Tlapa, Guerrero"
Jtatic Samuel Ruiz,"Palenque, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,17.5382112,-91.9882207,PG765,"Calle del Caminante/ Ninos Heroes 51, Barrio San Francisco, Col. Pakal-na C.P 29960"
La72: Hogar-Refugio para personas migrantes,"Palenque, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,17.47213825,-91.40776533,PG765,"Prolongacion 20 S/N, Estacion Nueva 86901, Tenosique de Pino Suarez, Tabasco,Tenosique, Tabasco"
"La 72, Hogar -Refugio para personas migrantes","Palenque, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,17.4603172,-91.43313845,PG765,"Estacion Nueva,Tenosique, Tabasco"
Casa del Caminante Jtatic Samuel Ruiz ,"Palenque, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,17.2519767,-91.5630216,PG765,"Ninos Heroes 051 C.P. 29960,Palenque, Chiapas"
Centro de orientacion del migrante de Oaxaca ,"San Jacinto Amilpas, Oaxaca",Oaxaca,OSC / ONG,Centros de Asistencia Social,17.1080622,-96.7167234,PG630,"Callejon de Guadalupe Victoria s/n, Col. Centro, C.P. 68000,Oaxaca, Oaxaca"
