Arc,From_Node,To_Node,origen_xy,destino_xy
PG1118-PG1157,PG1118,PG1157,"27.0285283, -100.0333715","27.4930466, -99.5074055"
PG1116-PG1155,PG1116,PG1155,"25.7816542, -100.1887501","25.7932962, -99.1811424"
PG1155-PG1156,PG1155,PG1156,"25.7932962, -99.1811424","26.3995446, -99.0314218"
PG1155-PG1233,PG1155,PG1233,"25.7932962, -99.1811424","26.0907673, -98.2788191"
PG1150-PG1190,PG1150,PG1190,"22.56570125, -99.0871371606598","22.79038735, -98.5763189554293"
PG1190-PG1152,PG1190,PG1152,"22.79038735, -98.5763189554293","23.40496, -99.3806698"
PG1190-PG1229,PG1190,PG1229,"22.79038735, -98.5763189554293","22.9196081, -98.0741727"
PG1229-PG1192,PG1229,PG1192,"22.9196081, -98.0741727","24.2169169, -98.483929"
PG1192-PG1232,PG1192,PG1232,"24.2169169, -98.483929","24.8466769, -98.1473493"
PG1232-PG1233,PG1232,PG1233,"24.8466769, -98.1473493","26.0907673, -98.2788191"
PG1233-PG1272,PG1233,PG1272,"26.0907673, -98.2788191","25.8810158, -97.5064866"
PG1187-PG1228,PG1187,PG1228,"21.1263192, -98.9521191559816","22.3921625, -97.9362975"
PG1228-PG1229,PG1228,PG1229,"22.3921625, -97.9362975","22.9196081, -98.0741727"
PG1301-PG1302,PG1301,PG1302,"18.814226, -96.7223775","19.333333, -96.666667"
PG1302-PG1263,PG1302,PG1263,"19.333333, -96.666667","19.5408338, -96.9146374"
PG1263-PG1264,PG1263,PG1264,"19.5408338, -96.9146374","20.4458721, -97.3232777494493"
PG1264-PG1265,PG1264,PG1265,"20.4458721, -97.3232777494493","20.95647915, -97.4073817712075"
PG1265-PG1226,PG1265,PG1226,"20.95647915, -97.4073817712075","20.9951932, -97.7557841914082"
PG1226-PG1227,PG1226,PG1227,"20.9951932, -97.7557841914082","21.661111, -97.850556"
PG1227-PG1228,PG1227,PG1228,"21.661111, -97.850556","22.3921625, -97.9362975"
PG1228-PG1190,PG1228,PG1190,"22.3921625, -97.9362975","22.79038735, -98.5763189554293"
PG1300-PG1339,PG1300,PG1339,"18.15, -96.716667","18.28167395, -95.9643574726842"
PG1339-PG1301,PG1339,PG1301,"18.28167395, -95.9643574726842","18.814226, -96.7223775"
PG1300-PG1340,PG1300,PG1340,"18.15, -96.716667","18.82874235, -95.9238540059007"
PG1340-PG1302,PG1340,PG1302,"18.82874235, -95.9238540059007","19.333333, -96.666667"
PG1376-PG1377,PG1376,PG1377,"16.413329, -94.9118794582709","17.38793115, -94.9094973063052"
PG1377-PG1378,PG1377,PG1378,"17.38793115, -94.9094973063052","17.9487862, -94.9145752"
