,nommun,cvemun,estado,region,id_poligon,eventos,inm_30km,sc_30km,geometry
127,"Apan, Hidalgo",,Hidalgo,Centro,PG1185,5,0,1,POINT (-98.4502318 19.7098559)
128,"Tolcayuca, Hidalgo",29051,Hidalgo,Centro,PG1186,1,1,4,POINT (-98.920278 19.956667)
129,"Actopan, Hidalgo",,Hidalgo,Centro,PG1186,2,1,4,POINT (-98.9431476 20.2687373)
130,"Atitalaquia, Hidalgo",20540,Hidalgo,Centro,PG1147,2,0,4,POINT (-99.213288197313 20.0597395)
131,"Ixmiquilpan, Hidalgo",18020,Hidalgo,Centro,PG1147,1,0,1,POINT (-99.218056 20.481944)
132,"Alfajayucan, Hidalgo",20338,Hidalgo,Centro,PG1147,1,0,1,POINT (-99.4031534355859 20.410277)
133,"Emiliano Zapata, Hidalgo",14070,Hidalgo,Centro,PG1185,1,0,1,POINT (-98.544552 19.6546865)
134,"Epazoyucan, Hidalgo",32020,Hidalgo,Centro,PG1186,1,1,3,POINT (-98.6364294 20.0181268)
135,"Huasca de Ocampo, Hidalgo",,Hidalgo,Centro,PG1186,1,1,3,POINT (-98.5552467331717 20.2231549)
136,"Guadalajara, Jalisco",,Jalisco,Pacifico,PG914,1313,1,78,POINT (-103.338396 20.6720375)
137,"Tlajomulco de Zuniga, Jalisco",20079,Jalisco,Pacifico,PG913,113,1,78,POINT (-103.400509663829 20.48187375)
138,"Zapotlan el Grande, Jalisco",20310,Jalisco,Pacifico,PG912,1,0,1,POINT (-103.510648021864 19.6973465)
139,"El Salto, Jalisco",20107,Jalisco,Pacifico,PG953,1,1,72,POINT (-103.1813141 20.5196964)
140,"Zinapecuaro, Michoacan",7059,Michoacan,Pacifico,PG1069,176,0,0,POINT (-100.770909712988 19.8563181)
141,"Morelia, Michoacan",,Michoacan,Pacifico,PG1029,136,0,6,POINT (-101.1923818 19.7027116)
142,"Buenavista, Michoacan",,Michoacan,Pacifico,PG951,1,0,1,POINT (-102.555157985076 19.21451245)
143,"Apatzingan, Michoacan",,Michoacan,Pacifico,PG989,1,0,1,POINT (-102.3537356 19.0913792)
144,"Lazaro Cardenas, Michoacan",20555,Michoacan,Pacifico,PG988,1,0,1,POINT (-102.198659 17.9594769)
145,"Cuitzeo, Michoacan",14023,Michoacan,Pacifico,PG1030,1,0,1,POINT (-101.1412203 19.9693141)
146,"Uruapan, Michoacan",,Michoacan,Pacifico,PG990,1,0,1,POINT (-102.0522647 19.4147269)
147,"Cuernavaca, Morelos",19049,Morelos,Centro,PG1145,19,0,7,POINT (-99.2342282 18.9218274)
148,"Puente de Ixtla, Morelos",,Morelos,Centro,PG1145,8,0,4,POINT (-99.3192092 18.6171111)
149,"Temixco, Morelos",,Morelos,Centro,PG1145,7,0,9,POINT (-99.2236369 18.8449428)
150,"Emiliano Zapata, Morelos",31102,Morelos,Centro,PG1145,4,0,9,POINT (-99.1870274 18.83995)
151,"Jantetelco, Morelos",,Morelos,Centro,PG1184,3,0,1,POINT (-98.7766172 18.7167516)
152,"Xochitepec, Morelos",,Morelos,Centro,PG1145,3,0,9,POINT (-99.2308448 18.7831747)
153,"Tepoztlan, Morelos",29025,Morelos,Centro,PG1145,1,0,9,POINT (-99.1025453272487 18.9914959)
154,"Tepic, Nayarit",7097,Nayarit,Pacifico,PG837,219,0,8,POINT (-104.8915889 21.5119156)
155,"Bahia de Banderas, Nayarit",29031,Nayarit,Pacifico,PG797,2,0,1,POINT (-105.317508736965 20.8290434)
156,"Galeana, Nuevo Leon",19017,Nuevo Leon,Golfo,PG1115,5394,0,0,POINT (-100.089346003726 24.8455905995639)
157,"Apodaca, Nuevo Leon",19006,Nuevo Leon,Golfo,PG1116,4255,1,98,POINT (-100.1887501 25.7816542)
158,"Mina, Nuevo Leon",19037,Nuevo Leon,Golfo,PG1077,2343,0,14,POINT (-100.5300485 26.0025145)
159,"General Bravo, Nuevo Leon",19020,Nuevo Leon,Golfo,PG1155,2056,0,1,POINT (-99.1811424 25.7932962)
160,"General Escobedo, Nuevo Leon",,Nuevo Leon,Golfo,PG1116,1204,1,101,POINT (-100.3224334 25.808517)
161,"Monterrey, Nuevo Leon",28038,Nuevo Leon,Golfo,PG1116,446,1,99,POINT (-100.315258 25.6802019)
162,"Guadalupe, Nuevo Leon",29016,Nuevo Leon,Golfo,PG1116,223,1,99,POINT (-100.2151753 25.6751114)
163,"Juarez, Nuevo Leon",18017,Nuevo Leon,Golfo,PG1116,180,1,82,POINT (-100.0907766 25.6467011)
164,"Santa Catarina, Nuevo Leon",23008,Nuevo Leon,Golfo,PG1077,167,1,95,POINT (-100.4616371 25.6745052)
165,"China, Nuevo Leon",,Nuevo Leon,Golfo,PG1194,146,0,0,POINT (-98.9811115045569 25.4915799)
166,"Pesqueria, Nuevo Leon",29043,Nuevo Leon,Golfo,PG1116,93,0,69,POINT (-100.0520621 25.7851361)
167,"Anahuac, Nuevo Leon",1004,Nuevo Leon,Golfo,PG1118,86,0,0,POINT (-100.0333715 27.0285283)
