nombre,ciudad,estado,latitud,longitud,codigo_ruta,ID_Poligon,codigo_unico,detenciones,conteo_puntos
"Hualahuises, Nuevo Leon","Hualahuises, Nuevo Leon",Nuevo Leon,24.8838044,-99.6739794,G,PG1154,G-PG1154-1, 34,0
"Linares, Nuevo Leon","Linares, Nuevo Leon",Nuevo Leon,24.8596282,-99.5684539,G,PG1154,G-PG1154-2, 19,0
"Los Ramones, Nuevo Leon","Los Ramones, Nuevo Leon",Nuevo Leon,25.6973768,-99.6250811,G,PG1155,G-PG1155-1, 7,0
"General Bravo, Nuevo Leon","General Bravo, Nuevo Leon",Nuevo Leon,25.7932962,-99.1811424,G,PG1155,G-PG1155-2,2 059,0
"Paras, Nuevo Leon","Paras, Nuevo Leon",Nuevo Leon,26.4993853,-99.5229954,G,PG1156,G-PG1156-1, 13,0
"Guerrero, Presa Falcón (terrestre)","Guerrero, Tamaulipas",Tamaulipas,26.56661896210727,-99.22713423772367,FN,PG1156,FN-PG1156-2,0,1
"Miguel Aleman, Tamaulipas","Miguel Aleman, Tamaulipas",Tamaulipas,26.3995446,-99.0314218,G,PG1156,G-PG1156-3, 16,1
Miguel Alemán (terrestre),"Miguel Alemán , Tamaulipas",Tamaulipas,26.403212582907017,-99.01998686603775,FN,PG1156,FN-PG1156-4,0,1
"Nuevo Laredo, Tamaulipas","Nuevo Laredo, Tamaulipas",Tamaulipas,27.4930466,-99.5074055,G,PG1157,G-PG1157-1, 143,1
"Azoyu, Guerrero","Azoyu, Guerrero",Guerrero,16.730833,-98.600833,P,PG1181,P-PG1181-1,1 023,0
"Jantetelco, Morelos","Jantetelco, Morelos",Morelos,18.7167516,-98.7766172,C,PG1184,C-PG1184-1, 3,0
"Tecamac, Estado de Mexico","Tecamac, Estado de Mexico",Estado de Mexico,19.7115011,-98.968354,C,PG1185,C-PG1185-1,,0
"Chalco, Estado de Mexico","Chalco, Estado de Mexico",Estado de Mexico,19.2612215,-98.8958362,C,PG1185,C-PG1185-2,,1
"Ixtapaluca, Estado de Mexico","Ixtapaluca, Estado de Mexico",Estado de Mexico,19.3129326,-98.8840481,C,PG1185,C-PG1185-3,,1
