ciudad,Latitude,Longitude,Coordinates,enero_presentados,enero_canalizados,enero_total,febrero_presentados,febrero_canalizados,febrero_total,marzo_presentados,marzo_canalizados,marzo_total,abril_presentados,abril_canalizados,abril_total,mayo_presentados,mayo_canalizados,mayo_total,junio_presentados,junio_canalizados,junio_total,julio_presentados,julio_canalizados,julio_total,agosto_presentados,agosto_canalizados,agosto_total,septiembre_presentados,septiembre_canalizados,septiembre_total,octubre_presentados,octubre_canalizados,octubre_total,noviembre_presentados,noviembre_canalizados,noviembre_total,diciembre_presentados,diciembre_canalizados,diciembre_total,total_presentados,total_canalizados,total_total
"Tlaxco, Tlaxcala",19.620586449999998,-98.17076010112392,"19.620586449999998,-98.17076010112392",1,0,1,0,0,0,8,0,8,14,2,16,0,0,0,0,0,0,1,6,7,4,0,4,6,0,6,0,0,0,1,0,1,6,0,6,41,8,49
"Tocatlán, Tlaxcala",19.389167,-98.03,"19.389167,-98.03",0,0,0,0,0,0,0,0,0,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
"Tzompantepec, Tlaxcala",19.38326045,-98.08616228147103,"19.38326045,-98.08616228147103",0,0,0,1,0,1,18,1,19,2,0,2,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,33
"Xaloztoc, Tlaxcala",19.403611,-98.048611,"19.403611,-98.048611",209,25,234,348,55,403,350,51,401,408,85,493,146,17,163,221,53,274,408,99,507,267,49,316,424,196,620,225,81,306,163,98,261,181,72,253,3350,881,4231
"Yauhquemehcan, Tlaxcala",19.4057444,-98.1824244,"19.4057444,-98.1824244",0,0,0,9,1,10,62,13,75,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,0,3,0,0,0,79,22,101
"Zacatelco, Tlaxcala",19.215833,-98.239722,"19.215833,-98.239722",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,2,0,2,0,0,0,0,0,0,8,0,8
"Acayucan, Veracruz",17.9487862,-94.9145752,"17.9487862,-94.9145752",1232,633,1865,1182,652,1834,2151,0,2151,1450,423,1873,3610,1123,4733,3104,1146,4250,3525,892,4417,4955,1669,6624,5185,1644,6829,4234,1177,5411,2824,792,3616,1786,405,2191,35238,10556,45794
"Agua Dulce, Veracruz",18.0899541,-94.16236305223826,"18.0899541,-94.16236305223826",0,94,94,0,97,97,0,0,0,0,69,69,0,300,300,0,313,313,0,322,322,0,444,444,0,834,834,0,768,768,0,473,473,0,430,430,0,4144,4144
"Álamo Temapache, Veracruz",20.995193200000003,-97.75578419140825,"20.995193200000003,-97.75578419140825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Alvarado, Veracruz",18.82874235,-95.9238540059007,"18.82874235,-95.9238540059007",0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,30,30,0,4,4,0,0,0,0,3,3,0,5,5,0,3,3,0,10,10,0,59,59
"Amatlán de los Reyes, Veracruz",18.87251165,-96.86857239686657,"18.87251165,-96.86857239686657",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1,16,17
"Angel R. Cabada, Veracruz",18.5927238,-95.38616824749718,"18.5927238,-95.38616824749718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,17,17
"Camerino Z. Mendoza, Veracruz",18.789630799999998,-97.15993214034107,"18.789630799999998,-97.15993214034107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126
"Carlos A. Carrillo, Veracruz",18.32836115,-95.71540338041564,"18.32836115,-95.71540338041564",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Carrillo Puerto, Veracruz",18.8215893,-96.58428389542232,"18.8215893,-96.58428389542232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,31,31,0,5,5,0,55,55
"Coatepec, Veracruz",19.4543134,-96.9596375,"19.4543134,-96.9596375",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Coatzacoalcos, Veracruz",18.1396787,-94.4501731,"18.1396787,-94.4501731",0,6,6,32,21,53,108,0,108,26,50,76,0,24,24,0,11,11,0,1,1,0,0,0,13,0,13,0,0,0,0,5,5,0,0,0,179,118,297
"Córdoba, Veracruz",18.8944704,-96.9352891,"18.8944704,-96.9352891",114,6,120,21,22,43,0,0,0,39,0,39,0,7,7,0,64,64,3,247,250,0,22,22,0,21,21,0,19,19,0,24,24,0,0,0,177,432,609
"Cosamaloapan de Carpio, Veracruz",18.28167395,-95.96435747268424,"18.28167395,-95.96435747268424",0,7,7,10,123,133,0,0,0,0,19,19,0,468,468,0,204,204,0,274,274,0,389,389,0,778,778,0,432,432,0,268,268,0,124,124,10,3086,3096
"Cosoleacaque, Veracruz",18.0060183,-94.61748300858763,"18.0060183,-94.61748300858763",0,3,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
"Cotaxtla, Veracruz",18.857657250000003,-96.35099905704104,"18.857657250000003,-96.35099905704104",1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,241,241,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,249,250
"Cuitláhuac, Veracruz",18.814226,-96.7223775,"18.814226,-96.7223775",0,41,41,17,20,37,0,0,0,13,0,13,0,49,49,0,134,134,0,78,78,0,132,132,12,411,423,0,176,176,0,134,134,0,128,128,42,1303,1345
"Fortín, Veracruz",18.8993309,-96.9982014,"18.8993309,-96.9982014",2,0,2,35,0,35,0,0,0,3,0,3,0,5,5,0,4,4,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,40,14,54
"Gutiérrez Zamora, Veracruz",20.456991000000002,-97.085536109707,"20.456991000000002,-97.085536109707",0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
"Isla, Veracruz",18.0276212,-95.5281332,"18.0276212,-95.5281332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15
"Ixtaczoquitlán, Veracruz",18.85134015,-97.02710712449068,"18.85134015,-97.02710712449068",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"Jesús Carranza, Veracruz",17.38793115,-94.90949730630518,"17.38793115,-94.90949730630518",0,80,80,0,0,0,0,0,0,0,17,17,0,188,188,0,204,204,0,333,333,0,987,987,0,1065,1065,0,1095,1095,0,928,928,0,499,499,0,5396,5396
"Juan Rodríguez Clara, Veracruz",17.97320895,-95.34412799338502,"17.97320895,-95.34412799338502",0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
"La Antigua, Veracruz",19.3176799,-96.31864092519668,"19.3176799,-96.31864092519668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160
"Las Choapas, Veracruz",17.56348585,-93.94000863532293,"17.56348585,-93.94000863532293",0,24,24,7,12,19,1,0,1,0,0,0,0,36,36,0,10,10,0,13,13,0,101,101,0,16,16,0,2,2,0,14,14,16,51,67,24,279,303
"Martínez de la Torre, Veracruz",20.1197165,-97.04616467665727,"20.1197165,-97.04616467665727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,15,15
"Medellín de Bravo, Veracruz",19.0404677,-96.1442918,"19.0404677,-96.1442918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
"Minatitlán, Veracruz",17.992773,-94.5567103,"17.992773,-94.5567103",0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,10,10
"Moloacán, Veracruz",17.9926405,-94.28232907418123,"17.9926405,-94.28232907418123",0,0,0,0,0,0,0,0,0,0,7,7,0,3,3,0,9,9,0,3,3,0,5,5,0,32,32,0,14,14,0,5,5,0,3,3,0,81,81
"Naranjos Amatlán, Veracruz",21.309332599999998,-97.67600130026644,"21.309332599999998,-97.67600130026644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
"Nogales, Veracruz",18.8226013,-97.1627659,"18.8226013,-97.1627659",0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"Orizaba, Veracruz",18.8497366,-97.1060062,"18.8497366,-97.1060062",57,8,65,334,8,342,0,0,0,372,0,372,0,28,28,0,17,17,37,69,106,0,0,0,22,0,22,43,65,108,0,3,3,0,37,37,865,235,1100
"Ozuluama de Mascareñas, Veracruz",21.661111,-97.850556,"21.661111,-97.850556",0,0,0,0,0,0,5,5,10,0,0,0,3,59,62,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,66,74
"Pánuco, Veracruz",22.08052495,-98.23295792186903,"22.08052495,-98.23295792186903",0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
"Papantla, Veracruz",20.445872100000003,-97.32327774944926,"20.445872100000003,-97.32327774944926",0,0,0,0,0,0,0,0,0,2,0,2,3,6,9,0,11,11,0,0,0,0,0,0,3,23,26,0,0,0,0,0,0,0,0,0,8,40,48
"Perote, Veracruz",19.510864050000002,-97.26853448069734,"19.510864050000002,-97.26853448069734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Poza Rica de Hidalgo, Veracruz",20.537657449999998,-97.44512479987276,"20.537657449999998,-97.44512479987276",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,11,0,0,0,0,87,87,0,21,21,0,2,2,0,7,7,0,0,0,1,128,129
"Pueblo Viejo, Veracruz",22.163842600000002,-97.89855507348236,"22.163842600000002,-97.89855507348236",0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
"Río Blanco, Veracruz",18.84522475,-97.15229388882733,"18.84522475,-97.15229388882733",0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,0,0,0,0,73,73
"San Andrés Tuxtla, Veracruz",18.4633672,-95.19831533920046,"18.4633672,-95.19831533920046",0,18,18,0,29,29,0,0,0,9,14,23,0,4,4,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,13,13,0,0,0,9,93,102
"San Juan Evangelista, Veracruz",17.76252635,-95.23042939358857,"17.76252635,-95.23042939358857",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Sayula de Alemán, Veracruz",17.74768255,-94.95439752101805,"17.74768255,-94.95439752101805",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,27,27,0,53,53
"Soledad de Doblado, Veracruz",19.0452067,-96.4233756,"19.0452067,-96.4233756",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
"Tecolutla, Veracruz",20.41847865,-96.9936370355502,"20.41847865,-96.9936370355502",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Texistepec, Veracruz",17.894167,-94.816389,"17.894167,-94.816389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,7,7
"Tezonapa, Veracruz",18.5587309,-96.78234114824798,"18.5587309,-96.78234114824798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,6
"Tierra Blanca, Veracruz",18.5272475,-96.21520077487331,"18.5272475,-96.21520077487331",5,0,5,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,5,8,13
"Tihuatlán, Veracruz",20.716735,-97.5367859622192,"20.716735,-97.5367859622192",0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
"Tres Valles, Veracruz",18.2921576,-96.16641196824392,"18.2921576,-96.16641196824392",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2
"Tuxpan, Veracruz",20.95647915,-97.40738177120747,"20.95647915,-97.40738177120747",9,4,13,10,6,16,16,17,33,67,18,85,15,3,18,2,5,7,11,0,11,0,0,0,0,13,13,1,30,31,0,4,4,0,0,0,131,100,231
"Veracruz, Veracruz",19.333333,-96.666667,"19.333333,-96.666667",172,6,178,420,0,420,1044,0,1044,5,20,25,0,4,4,0,0,0,0,386,386,0,93,93,1,230,231,0,71,71,0,5,5,0,21,21,1642,836,2478
"Villa Aldama, Veracruz",19.6489805,-97.2228382,"19.6489805,-97.2228382",0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
"Xalapa, Veracruz",19.5408338,-96.9146374,"19.5408338,-96.9146374",21,3,24,2,8,10,0,20,20,12,0,12,3,0,3,0,0,0,15,0,15,0,0,0,0,0,0,0,7,7,0,18,18,0,0,0,53,56,109
"Yanga, Veracruz",18.8313634,-96.7992608,"18.8313634,-96.7992608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,0,0,0,0,0,0,0,62,62
"Mérida, Yucatán",20.9670759,-89.6237402,"20.9670759,-89.6237402",38,12,50,35,0,35,127,1,128,336,0,336,4,0,4,10,0,10,23,0,23,38,15,53,47,21,68,80,0,80,69,37,106,29,9,38,836,95,931
"Progreso, Yucatán",21.2822136,-89.6636637,"21.2822136,-89.6636637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
"Valladolid, Yucatán",20.6902505,-88.2016999,"20.6902505,-88.2016999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
"Calera, Zacatecas",22.978479999999998,-102.85622288611614,"22.978479999999998,-102.85622288611614",0,0,0,0,0,0,0,0,0,7,1,8,0,0,0,0,0,0,18,4,22,0,0,0,0,0,0,0,0,0,1,11,12,0,0,0,26,16,42
"Jerez, Zacatecas",22.7105933,-103.00147264243049,"22.7105933,-103.00147264243049",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"Trancoso, Zacatecas",22.7353025,-102.3667969,"22.7353025,-102.3667969",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,0,0,0,3,28,31,4,46,50,1,2,3,0,0,0,17,79,96
"Zacatecas, Zacatecas",23.0823582,-103.20856984509811,"23.0823582,-103.20856984509811",216,45,261,66,9,75,286,108,394,5,0,5,3,2,5,7,0,7,0,6,6,24,9,33,160,0,160,22,1,23,6,11,17,0,0,0,795,191,986
