ciudad,Latitude,Longitude,Coordinates,enero_presentados,enero_canalizados,enero_total,febrero_presentados,febrero_canalizados,febrero_total,marzo_presentados,marzo_canalizados,marzo_total,abril_presentados,abril_canalizados,abril_total,mayo_presentados,mayo_canalizados,mayo_total,junio_presentados,junio_canalizados,junio_total,julio_presentados,julio_canalizados,julio_total,agosto_presentados,agosto_canalizados,agosto_total,septiembre_presentados,septiembre_canalizados,septiembre_total,octubre_presentados,octubre_canalizados,octubre_total,noviembre_presentados,noviembre_canalizados,noviembre_total,diciembre_presentados,diciembre_canalizados,diciembre_total,total_presentados,total_canalizados,total_total
"Mapimí, Durango",25.8337403,-103.8480216,"25.8337403,-103.8480216",0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23
"Acambay de Ruíz Castañeda, México",19.959047050000002,-99.84802086293078,"19.959047050000002,-99.84802086293078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Amecameca, México",19.120025400000003,-98.70653181362624,"19.120025400000003,-98.70653181362624",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Apaxco, México",19.9807399,-99.15181011020428,"19.9807399,-99.15181011020428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,242,524,693,819,1512,154,247,401,23,16,39,1152,1324,2476
"Atlacomulco, México",19.81591915,-99.86811932469178,"19.81591915,-99.86811932469178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,0,0,0,0,0,0,0,0,0,42,0,42
"Chalco, México",19.2382585,-98.81888376395177,"19.2382585,-98.81888376395177",0,0,0,0,0,0,0,0,0,29,2,31,0,0,0,0,0,0,34,40,74,71,229,300,0,0,0,0,0,0,0,0,0,0,0,0,134,271,405
"Cuautitlán, México",19.6531356,-99.2145002,"19.6531356,-99.2145002",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"Ecatepec de Morelos, México",19.6043981,-98.988231,"19.6043981,-98.988231",0,0,0,0,0,0,123,10,133,1,0,1,0,0,0,1,0,1,0,0,0,20,21,41,0,0,0,0,0,0,9,0,9,0,0,0,154,31,185
"Huehuetoca, México",19.833375,-99.2044638,"19.833375,-99.2044638",0,0,0,0,15,15,40,4,44,16,2,18,0,0,0,5,0,5,10,18,28,20,11,31,0,0,0,0,0,0,72,135,207,0,0,0,163,185,348
"Ixtapaluca, México",19.3129326,-98.8840481,"19.3129326,-98.8840481",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
"Naucalpan de Juárez, México",19.4788356,-99.2327986,"19.4788356,-99.2327986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
"Nezahualcóyotl, México",19.4079028,-99.0181547,"19.4079028,-99.0181547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,2,12,0,0,0,0,0,0,10,12,22
"Ocoyoacac, México",19.2587373,-99.41777785971426,"19.2587373,-99.41777785971426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2
"Tecámac, México",19.7115011,-98.968354,"19.7115011,-98.968354",0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"Tepotzotlán, México",19.7173392,-99.2230683,"19.7173392,-99.2230683",456,94,550,491,128,619,410,24,434,141,39,180,109,25,134,150,18,168,313,34,347,98,52,150,10,27,37,651,745,1396,461,469,930,0,0,0,3290,1655,4945
"Texcoco, México",19.5144327,-98.8821254,"19.5144327,-98.8821254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0,0,0,0,0,0,0,0,0,0,120,120
"Tlalnepantla de Baz, México",19.546490249999998,-99.1899352247449,"19.546490249999998,-99.1899352247449",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,22,22,44,0,0,0,0,0,0,13,15,28,38,37,75
"Toluca, México",19.292545,-99.6569007,"19.292545,-99.6569007",0,0,0,84,0,84,0,0,0,0,0,0,29,0,29,25,0,25,108,7,115,52,0,52,188,2,190,101,20,121,73,49,122,15,0,15,675,78,753
"Xalatlaco, México",19.1843821,-99.4145622,"19.1843821,-99.4145622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"Zumpango, México",19.81293675,-99.08180953352705,"19.81293675,-99.08180953352705",0,13,13,0,9,9,0,15,15,0,0,0,0,14,14,0,0,0,0,12,12,0,22,22,0,22,22,2,22,24,0,13,13,0,11,11,2,153,155
