,sexo,edad,pais
364,Hombre,23,Guatemala
365,Mujer,25,Honduras
366,Hombre,19,Guatemala
367,Mujer,27,Guatemala
368,Mujer,28,Guatemala
369,Mujer,27,Guatemala
370,Hombre,19,Guatemala
371,Mujer,28,Guatemala
372,Hombre,28,Guatemala
373,Hombre,21,Guatemala
374,Hombre,29,Guatemala
375,Mujer,19,Guatemala
376,Hombre,22,Guatemala
377,Mujer,51,Guatemala
378,Hombre,21,Guatemala
379,Hombre,24,Guatemala
380,Mujer,27,Guatemala
381,Mujer,25,Guatemala
382,Hombre,23,Guatemala
383,Mujer,19,Guatemala
384,Hombre,25,Guatemala
385,Hombre,20,Guatemala
386,Mujer,26,Guatemala
387,Mujer,25,Guatemala
388,Mujer,29,Guatemala
389,Hombre,24,Estados Unidos
390,Hombre,23,Guatemala
391,Mujer,29,Guatemala
392,Mujer,28,Honduras
393,Mujer,22,Guatemala
394,Hombre,24,Guatemala
395,Hombre,23,Guatemala
396,Hombre,25,Guatemala
397,Mujer,25,Honduras
398,Mujer,23,Guatemala
399,Hombre,29,Guatemala
400,Mujer,25,Guatemala
401,Mujer,21,Guatemala
402,Hombre,22,Guatemala
403,Mujer,18,Honduras
404,Hombre,24,Honduras
405,Hombre,20,Guatemala
406,Hombre,23,Guatemala
407,Hombre,25,Guatemala
408,Hombre,17,Guatemala
409,Mujer,25,Guatemala
410,Mujer,42,Guatemala
411,Hombre,22,Guatemala
412,Hombre,27,Guatemala
413,Mujer,23,Guatemala
414,Mujer,25,Guatemala
415,Hombre,25,Guatemala
416,Mujer,23,Guatemala
417,Hombre,24,Guatemala
418,Mujer,22,Guatemala
419,Mujer,26,Guatemala
420,Hombre,25,Guatemala
421,Hombre,23,Guatemala
422,Mujer,36,Guatemala
423,Mujer,20,Guatemala
424,Hombre,23,Guatemala
425,Hombre,20,Guatemala
426,Hombre,23,Guatemala
427,Hombre,25,Guatemala
428,Mujer,23,Guatemala
429,Hombre,24,Guatemala
430,Mujer,22,Guatemala
431,Hombre,25,Guatemala
432,Mujer,24,Guatemala
433,Hombre,23,Guatemala
434,Hombre,28,Guatemala
435,Mujer,19,Guatemala
436,Hombre,24,Guatemala
437,Hombre,20,Guatemala
438,Mujer,22,Guatemala
439,Hombre,23,Guatemala
440,Mujer,24,Guatemala
441,Hombre,23,Guatemala
442,Mujer,23,Guatemala
443,Mujer,19,Guatemala
444,Mujer,30,Honduras
445,Mujer,24,Guatemala
446,Hombre,20,Guatemala
447,Hombre,26,Guatemala
448,Hombre,25,Guatemala
449,Mujer,25,Guatemala
450,Mujer,23,Guatemala
451,Mujer,22,Guatemala
452,Hombre,22,Guatemala
453,Mujer,23,Guatemala
454,Hombre,23,Guatemala
455,Hombre,21,Guatemala
456,Hombre,20,Guatemala
457,Mujer,20,Guatemala
458,Hombre,22,Guatemala
459,Mujer,24,Guatemala
460,Hombre,22,Guatemala
461,Hombre,25,Guatemala
462,Hombre,26,Guatemala
463,Mujer,23,Guatemala
464,Hombre,25,Guatemala
465,Mujer,22,Guatemala
466,Hombre,23,Guatemala
467,Mujer,19,Guatemala
468,Mujer,22,Guatemala
469,Hombre,23,Guatemala
470,Hombre,25,Guatemala
471,Mujer,24,Guatemala
472,Mujer,24,Guatemala
473,Mujer,21,Guatemala
474,Hombre,23,Guatemala
475,Mujer,28,Guatemala
476,Hombre,23,Honduras
477,Hombre,23,Guatemala
478,Mujer,22,Guatemala
479,Hombre,25,Guatemala
480,Mujer,22,Guatemala
481,Hombre,24,Guatemala
482,Mujer,23,Guatemala
483,Hombre,25,Guatemala
484,Mujer,26,Guatemala
485,Mujer,25,Guatemala
486,Mujer,23,Guatemala
487,Hombre,22,Guatemala
488,Hombre,24,Guatemala
489,Hombre,19,Guatemala
490,Mujer,26,Guatemala
491,Hombre,21,Guatemala
492,Mujer,23,Guatemala
493,Hombre,23,Guatemala
494,Hombre,25,Guatemala
495,Mujer,23,Guatemala
496,Hombre,23,Guatemala
497,Hombre,25,Guatemala
498,Mujer,22,Guatemala
499,Hombre,31,Guatemala
500,Hombre,22,Guatemala
501,Mujer,19,Guatemala
502,Hombre,25,Guatemala
503,Hombre,26,Guatemala
504,Hombre,27,Guatemala
505,Hombre,31,Guatemala
506,Hombre,23,Guatemala
507,Mujer,28,Guatemala
508,Hombre,23,Guatemala
509,Hombre,26,Guatemala
510,Mujer,22,Guatemala
511,Hombre,24,Guatemala
512,Hombre,23,Guatemala
513,Hombre,23,Guatemala
514,Mujer,23,Guatemala
515,Mujer,23,Guatemala
516,Hombre,26,Guatemala
517,Mujer,22,Guatemala
518,Mujer,19,Guatemala
519,Hombre,20,Guatemala
520,Mujer,18,Guatemala
521,Hombre,23,Guatemala
522,Mujer,26,Guatemala
523,Mujer,24,Guatemala
524,Hombre,24,Guatemala
525,Hombre,25,Guatemala
526,Hombre,25,Guatemala
527,Hombre,22,Guatemala
528,Hombre,25,Guatemala
529,Mujer,25,Guatemala
530,Mujer,23,Guatemala
531,Hombre,22,Guatemala
532,Mujer,24,Guatemala
533,Hombre,35,Guatemala
534,Hombre,24,Guatemala
535,Mujer,24,Guatemala
536,Hombre,25,Guatemala
537,Mujer,25,Guatemala
538,Hombre,25,Guatemala
539,Hombre,22,Guatemala
540,Hombre,24,Guatemala
541,Hombre,22,Guatemala
542,Mujer,24,Guatemala
