ciudad,estado,ruta,detenciones,latitud,longitud,tipo,ID_Poligono,geometry,codigo_ruta,contador_xy,codigo_unico
"Salamanca, Guanajuato",Guanajuato,Ruta Centro, 6,20.571358,-101.192444,Presencia Migración Irregular,PG498,"POLYGON ((-102 21, -101 21, -101 20, -102 20, -102 21))",C,1,C-PG498-1
"Irapuato, Guanajuato",Guanajuato,Ruta Centro, 44,20.6758761,-101.3521052,Presencia Migración Irregular,PG498,"POLYGON ((-102 21, -101 21, -101 20, -102 20, -102 21))",C,2,C-PG498-2
"Leon, Guanajuato",Guanajuato,Ruta Centro, 2,21.1218598,-101.6825081,Presencia Migración Irregular,PG499,"POLYGON ((-102 22, -101 22, -101 21, -102 21, -102 22))",C,1,C-PG499-1
"Ocampo, Guanajuato",Guanajuato,Ruta Centro, 6,21.6042823,-101.47623930019084,Presencia Migración Irregular,PG499,"POLYGON ((-102 22, -101 22, -101 21, -102 21, -102 22))",C,2,C-PG499-2
"Apaseo el Alto, Guanajuato",Guanajuato,Ruta Centro, 1,20.4562767,-100.621263,Presencia Migración Irregular,PG525,"POLYGON ((-101 21, -100 21, -100 20, -101 20, -101 21))",C,1,C-PG525-1
"Apaseo el Grande, Guanajuato",Guanajuato,Ruta Centro, 22,20.59193265,-100.59798678636592,Presencia Migración Irregular,PG525,"POLYGON ((-101 21, -100 21, -100 20, -101 20, -101 21))",C,3,C-PG525-3
"Comonfort, Guanajuato",Guanajuato,Ruta Centro, 29,20.7199475,-100.761188,Presencia Migración Irregular,PG525,"POLYGON ((-101 21, -100 21, -100 20, -101 20, -101 21))",C,5,C-PG525-5
"San Miguel de Allende, Guanajuato",Guanajuato,Ruta Centro, 15,20.9142238,-100.743784,Presencia Migración Irregular,PG525,"POLYGON ((-101 21, -100 21, -100 20, -101 20, -101 21))",C,7,C-PG525-7
"San Luis de la Paz, Guanajuato",Guanajuato,Ruta Centro, 60,21.2970466,-100.516269,Presencia Migración Irregular,PG526,"POLYGON ((-101 22, -100 22, -100 21, -101 21, -101 22))",C,2,C-PG526-2
"Dolores Hidalgo Cuna de la Independencia Nacional, Guanajuato",Guanajuato,Ruta Centro, 6,21.1043597,-100.7259581,Presencia Migración Irregular,PG526,"POLYGON ((-101 22, -100 22, -100 21, -101 21, -101 22))",C,1,C-PG526-1
"Acapulco de Juarez, Guerrero",Guerrero,Ruta del Pacifico, 32,16.8680495,-99.8940182,Presencia Migración Irregular,PG548,"POLYGON ((-100 17, -99 17, -99 16, -100 16, -100 17))",P,2,P-PG548-2
"Zihuatanejo de Azueta, Guerrero",Guerrero,Ruta del Pacifico, 14,17.80789995,-101.49695243500553,Presencia Migración Irregular,PG495,"POLYGON ((-102 18, -101 18, -101 17, -102 17, -102 18))",P,1,P-PG495-1
"San Marcos, Guerrero",Guerrero,Ruta del Pacifico, 379,16.85734375,-99.39034185147702,Presencia Migración Irregular,PG548,"POLYGON ((-100 17, -99 17, -99 16, -100 16, -100 17))",P,1,P-PG548-1
"Azoyu, Guerrero",Guerrero,Ruta del Pacifico,1 023,16.730833,-98.600833,Presencia Migración Irregular,PG575,"POLYGON ((-99 17, -98 17, -98 16, -99 16, -99 17))",P,2,P-PG575-2
"Chilpancingo de los Bravo, Guerrero",Guerrero,Ruta del Pacifico, 30,17.5542149,-99.5048416,Presencia Migración Irregular,PG549,"POLYGON ((-100 18, -99 18, -99 17, -100 17, -100 18))",P,1,P-PG549-1
"Tepeapulco, Hidalgo",Hidalgo,Ruta Centro, 35,19.7875962,-98.5522855,Presencia Migración Irregular,PG578,"POLYGON ((-99 20, -98 20, -98 19, -99 19, -99 20))",C,35,C-PG578-35
"Chapulhuacan, Hidalgo",Hidalgo,Ruta Centro, 18,21.1263192,-98.95211915598163,Presencia Migración Irregular,PG580,"POLYGON ((-99 22, -98 22, -98 21, -99 21, -99 22))",C,1,C-PG580-1
"Pachuca de Soto, Hidalgo",Hidalgo,Ruta Centro, 44,20.1165413,-98.7413535,Presencia Migración Irregular,PG579,"POLYGON ((-99 21, -98 21, -98 20, -99 20, -99 21))",C,4,C-PG579-4
"Tulancingo de Bravo, Hidalgo",Hidalgo,Ruta Centro, 19,20.0792094,-98.3475328,Presencia Migración Irregular,PG579,"POLYGON ((-99 21, -98 21, -98 20, -99 20, -99 21))",C,3,C-PG579-3
"Mineral de la Reforma, Hidalgo",Hidalgo,Ruta Centro, 22,20.06063885,-98.73057242363193,Presencia Migración Irregular,PG579,"POLYGON ((-99 21, -98 21, -98 20, -99 20, -99 21))",C,2,C-PG579-2
"Epazoyucan, Hidalgo",Hidalgo,Ruta Centro, 1,20.0181268,-98.6364294,Presencia Migración Irregular,PG579,"POLYGON ((-99 21, -98 21, -98 20, -99 20, -99 21))",C,1,C-PG579-1
"Tolcayuca, Hidalgo",Hidalgo,Ruta Centro, 3,19.956667,-98.920278,Presencia Migración Irregular,PG578,"POLYGON ((-99 20, -98 20, -98 19, -99 19, -99 20))",C,38,C-PG578-38
"Villa de Tezontepec, Hidalgo",Hidalgo,Ruta Centro, 14,19.9143587,-98.80032767789965,Presencia Migración Irregular,PG578,"POLYGON ((-99 20, -98 20, -98 19, -99 19, -99 20))",C,37,C-PG578-37
