name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
 Casa del Migrante de la Parroquia de Nuestra Señora de los Desamparados ,,,,,OSC / ONG,"Av. 36 Poniente 3308, Col. Nueva Aurora, atrás de la Central de Autobuses, C.P. 42070,Puebla, Puebla",redes
 Misión derechos humanos de la sierra gorda de Querétaro A.C. ,,,,,OSC / ONG,"Mariano Matamoros No. 14 Zona Centro 76340 Jalpan de Serra, Querétaro, México,Jalpan de Serra, Querétaro",redes
" Albergue para migrantes Toribio Romo, A.C. ",,,,,OSC / ONG,"Priv. Campesinos 1, Col. San Pedrito Peñuelas, C.P. 76140,Querétaro, Querétaro",redes
 Estancia González y Martínez A.C ,,,,,OSC / ONG,"Antigua Estación Bernal, Calle Juarez oriente C.P 76776,Tequisquiapan, Querétaro",redes
 Centro de Apoyo Marista al Migrante  (CAMMI) ,,,,,OSC / ONG,"Marte No. 2 Esq. Av. Universidad Col. Centro CP. 76000 Querétaro, Qro. (Universidad Marista de Querétaro),Querétaro, Querétaro",redes
 Casa Del Migrante San Luis Potosi. Programa de Cáritas SLP ,,,,,OSC / ONG,"Álvaro Obregón 626, Centro Historico, 78000,San Luis Potosí, San Luis Potosí",redes
 Casa de la Caridad Cristiana CCC ,,,,,OSC / ONG,"Calle Juan Álvarez #210, esquina vía México-Laredo, barrio de Tlaxcala,San Luis Potosí, San Luis Potosí",redes
 Sin Fronteras IAP ,,,,,OSC / ONG,"Carlos Dolci # 96. Col. Alfonso XII,de México, 01460 Ciudad Ciudad de México, Ciudad de México",redes
 AS Movilidad AC ,,,,,OSC / ONG,"Avenida México Coyoacán # 295 PB 1,de México, 03330 Ciudad Ciudad de México, Ciudad de México",redes
 Casa Refugio Citlaltépetl ,,,,,OSC / ONG,"Citlaltépetl # 25,de México, 6170 Ciudad Ciudad de México, Ciudad de México",redes
 Servicios Jesuitas a Migrantes SJM ,,,,,OSC / ONG,"Orizaba 39 Roma Nte. Cuauhtémoc 06700,de México, CDMX Ciudad Ciudad de México, Ciudad de México",redes
 Fundación Carlos Slim ,,,,,OSC / ONG,"Lago Zurich 245, Col. Ampliación Granada,Ciudad de México, Ciudad de México",redes
 Mi Valedor ,,,,,OSC / ONG,"Bucareli 69 C,Ciudad de México, Ciudad de México",redes
" Centro de los Derechos del Migrante, Inc ",,,,,OSC / ONG,"Calle Zamora #169-4 C.P. 06140,Ciudad de México, Ciudad de México",redes
 Casa de los Amigos A.C. APOFAM ,,,,,OSC / ONG,"Ignacio Mariscal 132,Ciudad de México, Ciudad de México",redes
 Misioneras de San Carlos Borromeo Scalabrinianas ,,,,,OSC / ONG,"Calle Zapote 31, San Fernando,Ciudad de México, Ciudad de México",redes
