nombre,latitud,longitud,edo,tipo,ciudad,ID_Poligono,geometry,codigo_ruta,secuencia,codigo_unico
"Zumpango, A. I. ""Felipe Ángeles""",19.73541916090052,-99.02622446227528,México,Aeropuerto Internacional,"Zumpango, México",PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",AI,3,AI-PG551-3
Miguel Alemán (terrestre),26.403212582907017,-99.01998686603775,Tamaulipas,Cruce Fronterizo Terrestre,"Miguel Alemán , Tamaulipas",PG558,"POLYGON ((-100 27, -99 27, -99 26, -100 26, -100 27))",FN,1,FN-PG558-1
"Guerrero, Presa Falcón (terrestre)",26.56661896210727,-99.22713423772367,Tamaulipas,Cruce Fronterizo Terrestre,"Guerrero, Tamaulipas",PG558,"POLYGON ((-100 27, -99 27, -99 26, -100 26, -100 27))",FN,2,FN-PG558-2
"Nuevo Laredo, A. I. ""Quetzalcóatl""",27.44947611664816,-99.56852312234746,Tamaulipas,Aeropuerto Internacional,"Nuevo Laredo, Tamaulipas",PG559,"POLYGON ((-100 28, -99 28, -99 27, -100 27, -100 28))",AI,1,AI-PG559-1
"Nuevo Laredo I ""Miguel Alemán"" (terrestre)",27.48068677138477,-99.51223458584512,Tamaulipas,Aeropuerto Internacional,"Nuevo Laredo I ""Miguel Alemán"" , Tamaulipas",PG559,"POLYGON ((-100 28, -99 28, -99 27, -100 27, -100 28))",AI,2,AI-PG559-2
"Colombia, Puente Solidaridad (terrestre)",27.69947556180477,-99.74579147498191,Nuevo León,Cruce Fronterizo Terrestre,"Colombia, Nuevo León",PG559,"POLYGON ((-100 28, -99 28, -99 27, -100 27, -100 28))",FN,3,FN-PG559-3
"Puebla, A. I. ""Hermanos Serdán""",19.16402089907814,-98.37599634535768,Puebla,Aeropuerto Internacional,"Puebla, Puebla",PG578,"POLYGON ((-99 20, -98 20, -98 19, -99 19, -99 20))",AI,1,AI-PG578-1
"Ciudad Victoria, A. I. ""Gral. Pedro J. Méndez""",23.70945088143849,-98.95826878570432,Tamaulipas,Aeropuerto Internacional,"Ciudad Victoria, Tamaulipas",PG582,"POLYGON ((-99 24, -98 24, -98 23, -99 23, -99 24))",AI,1,AI-PG582-1
"Reynosa, A. I. ""Gral. Lucio Blanco""",26.01195163569016,-98.22699249629592,Tamaulipas,Aeropuerto Internacional,"Reynosa, Tamaulipas",PG585,"POLYGON ((-99 27, -98 27, -98 26, -99 26, -99 27))",AI,1,AI-PG585-1
"Reynosa-Hidalgo, Benito Juárez I y II (terrestre) 16",26.02235932449347,-98.24819911446303,Tamaulipas,Cruce Fronterizo Terrestre,"Reynosa-Hidalgo, Tamaulipas",PG585,"POLYGON ((-99 27, -98 27, -98 26, -99 26, -99 27))",FN,2,FN-PG585-2
Reynosa III-Pharr (Nuevo amanecer) (terrestre),26.04348552050304,-98.20580782687132,Tamaulipas,Cruce Fronterizo Terrestre,"Reynosa III-Pharr , Tamaulipas",PG585,"POLYGON ((-99 27, -98 27, -98 26, -99 26, -99 27))",FN,3,FN-PG585-3
Camargo (terrestre),26.36283790368216,-98.80581265645236,Tamaulipas,Cruce Fronterizo Terrestre,"Camargo , Tamaulipas",PG585,"POLYGON ((-99 27, -98 27, -98 26, -99 26, -99 27))",FN,4,FN-PG585-4
"Puerto Escondido, A. I.",15.875103418757725,-97.09233866024846,Oaxaca,Aeropuerto Internacional,"Puerto Escondido, Oaxaca",PG601,"POLYGON ((-98 16, -97 16, -97 15, -98 15, -98 16))",AI,1,AI-PG601-1
Tuxpan (marítimo),20.967434142049694,-97.34549485652931,Veracruz,Puerto Internacion Maritimo,"Tuxpan , Veracruz",PG606,"POLYGON ((-98 21, -97 21, -97 20, -98 20, -98 21))",PM,1,PM-PG606-1
Tampico (marítimo),22.264630760609663,-97.87773026104747,Tamaulipas,Puerto Internacion Maritimo,"Tampico , Tamaulipas",PG608,"POLYGON ((-98 23, -97 23, -97 22, -98 22, -98 23))",PM,1,PM-PG608-1
"Tampico, A. I.",22.289498789669924,-97.86944806745994,Tamaulipas,Aeropuerto Internacional,"Tampico, Tamaulipas",PG608,"POLYGON ((-98 23, -97 23, -97 22, -98 22, -98 23))",AI,2,AI-PG608-2
Altamira (marítimo),22.40784397513716,-97.9203838216966,Tamaulipas,Puerto Internacion Maritimo,"Altamira , Tamaulipas",PG608,"POLYGON ((-98 23, -97 23, -97 22, -98 22, -98 23))",PM,3,PM-PG608-3
"Matamoros, A. I. ""Servando Canales""",25.81638550601157,-97.52262685441848,Tamaulipas,Aeropuerto Internacional,"Matamoros, Tamaulipas",PG611,"POLYGON ((-98 26, -97 26, -97 25, -98 25, -98 26))",AI,1,AI-PG611-1
"Matamoros, Zaragoza (Matamoros III) (terrestre)",25.87893945982541,-97.50415658832156,Tamaulipas,Cruce Fronterizo Terrestre,"Matamoros, Tamaulipas",PG611,"POLYGON ((-98 26, -97 26, -97 25, -98 25, -98 26))",FN,2,FN-PG611-2
Puerta México (Matamoros II) (terrestre),25.89690191257076,-97.49775599171532,Tamaulipas,Cruce Fronterizo Terrestre,"Puerta México , Tamaulipas",PG611,"POLYGON ((-98 26, -97 26, -97 25, -98 25, -98 26))",FN,3,FN-PG611-3
Nuevo Progreso-Las Flores (terrestre),26.06058061952616,-97.9499974549377,Tamaulipas,Cruce Fronterizo Terrestre,"Nuevo Progreso-Las Flores , Tamaulipas",PG612,"POLYGON ((-98 27, -97 27, -97 26, -98 26, -98 27))",FN,1,FN-PG612-1
"Capote, Puente TLC (terrestre)",26.07260786674765,-97.71099570924524,Tamaulipas,Cruce Fronterizo Terrestre,"Capote, Tamaulipas",PG612,"POLYGON ((-98 27, -97 27, -97 26, -98 26, -98 27))",FN,2,FN-PG612-2
"Huatulco, A. I.",15.772127409375528,-96.25863902823824,Oaxaca,Aeropuerto Internacional,"Huatulco, Oaxaca",PG628,"POLYGON ((-97 16, -96 16, -96 15, -97 15, -97 16))",AI,1,AI-PG628-1
Bahías de Huatulco (marítimo),15.8342651282376,-96.319938076121,Oaxaca,Puerto Internacion Maritimo,"Bahías de Huatulco , Oaxaca",PG628,"POLYGON ((-97 16, -96 16, -96 15, -97 15, -97 16))",PM,2,PM-PG628-2
"Oaxaca, A. I.",17.000936463661475,-96.72186991472046,Oaxaca,Aeropuerto Internacional,"Oaxaca, Oaxaca",PG630,"POLYGON ((-97 18, -96 18, -96 17, -97 17, -97 18))",AI,1,AI-PG630-1
"Veracruz, A. I.",19.1450343618979,-96.18605648213008,Veracruz,Aeropuerto Internacional,"Veracruz, Veracruz",PG632,"POLYGON ((-97 20, -96 20, -96 19, -97 19, -97 20))",AI,1,AI-PG632-1
Veracruz (marítimo),19.172839117807104,-96.13446968101292,Veracruz,Puerto Internacion Maritimo,"Veracruz , Veracruz",PG632,"POLYGON ((-97 20, -96 20, -96 19, -97 19, -97 20))",PM,2,PM-PG632-2
Salina Cruz (marítimo),16.204783,-95.206355,Oaxaca,Puerto Internacion Maritimo,"Salina Cruz , Oaxaca",PG656,"POLYGON ((-96 17, -95 17, -95 16, -96 16, -96 17))",PM,1,PM-PG656-1
"Minatitlán, A. I.",18.102559765167307,-94.57749790728738,Veracruz,Aeropuerto Internacional,"Minatitlán, Veracruz",PG685,"POLYGON ((-95 19, -94 19, -94 18, -95 18, -95 19))",AI,1,AI-PG685-1
Coatzacoalcos (marítimo) 17,18.133222270438043,-94.46741521329328,Veracruz,Puerto Internacion Maritimo,"Coatzacoalcos , Veracruz",PG685,"POLYGON ((-95 19, -94 19, -94 18, -95 18, -95 19))",PM,2,PM-PG685-2
